BUILDING#,STAIRHALL#,ADDRESS,ZIP CODE,RESIDENTIAL,BLOCK,LOT,BIN,AMP#,HZ,FACILITY
1,001,174 LEONARD STREET,11206,,3024,1,3327883,NY005000020,,COMMERCIAL SPACE  (STORES #48-50)
1,001,87 TEN EYCK WALK,11206,YES,3024,1,3327883,NY005000020,,
1,002,176 LEONARD STREET,11206,,3024,1,3327883,NY005000020,,COMMERCIAL SPACE  (STORES #48-50)
1,002,178 LEONARD STREET,11206,,3024,1,3327883,NY005000020,,DAY CARE CENTER/ COMMERCIAL SPACE  (STORES #48-50)
1,002,89 TEN EYCK WALK,11206,YES,3024,1,3327883,NY005000020,,
1,003,92 MAUJER STREET,11206,YES,3024,1,3327883,NY005000020,,
1,004,90 MAUJER STREET,11206,YES,3024,1,3327883,NY005000020,,
1,005,94 MAUJER STREET,11206,YES,3024,1,3327883,NY005000020,,
1,006,91 TEN EYCK WALK,11206,YES,3024,1,3327883,NY005000020,,
1,007,93 TEN EYCK WALK,11206,YES,3024,1,3327883,NY005000020,,
1,008,95 TEN EYCK WALK,11206,YES,3024,1,3327883,NY005000020,,
2,009,109 TEN EYCK WALK,11206,YES,3024,1,3327882,NY005000020,,
2,010,110 MAUJER STREET,11206,YES,3024,1,3327882,NY005000020,,
2,011,108 MAUJER STREET,11206,YES,3024,1,3327882,NY005000020,,
2,012,114 MAUJER STREET,11206,YES,3024,1,3327882,NY005000020,,
2,013,112 MAUJER STREET,11206,YES,3024,1,3327882,NY005000020,,
2,014,111 TEN EYCK WALK,11206,YES,3024,1,3327882,NY005000020,,
2,015,113 TEN EYCK WALK,11206,YES,3024,1,3327882,NY005000020,,
3,016,90 TEN EYCK WALK,11206,YES,3024,1,3327879,NY005000020,,
3,017,92 TEN EYCK WALK,11206,YES,3024,1,3327879,NY005000020,,
3,018,101 STAGG WALK,11206,YES,3024,1,3327879,NY005000020,,
3,019,99 STAGG WALK,11206,YES,3024,1,3327879,NY005000020,,
3,020,97 STAGG WALK,11206,YES,3024,1,3327879,NY005000020,,
4,021,110 TEN EYCK WALK,11206,YES,3024,1,3327881,NY005000020,,
4,022,112 TEN EYCK WALK,11206,YES,3024,1,3327881,NY005000020,,
4,023,114 TEN EYCK WALK,11206,YES,3024,1,3327881,NY005000020,,
4,024,123 STAGG WALK,11206,YES,3024,1,3327881,NY005000020,,
4,025,125 STAGG WALK,11206,YES,3024,1,3327881,NY005000020,,BOILER
5,026,88 STAGG WALK,11206,YES,3024,1,3327878,NY005000020,,
5,027,95 SCHOLES STREET,11206,YES,3024,1,3327878,NY005000020,,
5,028,93 SCHOLES STREET,11206,YES,3024,1,3327878,NY005000020,,
5,029,91 SCHOLES STREET,11206,YES,3024,1,3327878,NY005000020,,
5,030,101 SCHOLES STREET,11206,YES,3024,1,3327878,NY005000020,,
